Feature,Mean |SHAP|
date_unregistration,0.14620714337468144
total_clicks_page,0.007871365217417459
overall_active_days,0.006820820051059218
early_engagement,0.0058646180978044835
total_clicks_ouwiki,0.0030030827922001655
active_days_homepage,0.002861964371465146
total_clicks_quiz,0.002281567508876322
active_days_resource,0.0005959448087355045
highest_education,0.00012524731044657534
total_clicks_subpage,0.00010066052310168743
num_of_prev_attempts,1.83911236608401e-05
active_days_ouelluminate,3.955973088741303e-06
active_days_dataplus,3.6059909500181674e-06
active_days_subpage,1.883390620350838e-06
region,0.0
total_clicks_forumng,0.0
total_clicks_glossary,0.0
total_clicks_homepage,0.0
total_clicks_htmlactivity,0.0
total_clicks_oucollaborate,0.0
total_clicks_oucontent,0.0
total_clicks_ouelluminate,0.0
gender,0.0
total_clicks_questionnaire,0.0
total_clicks_externalquiz,0.0
total_clicks_repeatactivity,0.0
total_clicks_resource,0.0
total_clicks_sharedsubpage,0.0
total_clicks_url,0.0
presentation_year,0.0
semester,0.0
overall_total_clicks,0.0
id_student,0.0
avg_daily_clicks,0.0
total_clicks_folder,0.0
total_clicks_dataplus,0.0
total_clicks_dualpane,0.0
studied_credits,0.0
disability,0.0
date_registration,0.0
age_band,0.0
module_presentation_length,0.0
active_days_dualpane,0.0
active_days_externalquiz,0.0
active_days_folder,0.0
active_days_forumng,0.0
active_days_glossary,0.0
imd_band,0.0
active_days_htmlactivity,0.0
active_days_oucollaborate,0.0
active_days_oucontent,0.0
active_days_ouwiki,0.0
active_days_page,0.0
active_days_questionnaire,0.0
active_days_quiz,0.0
active_days_repeatactivity,0.0
code_presentation,0.0
active_days_sharedsubpage,0.0
active_days_url,0.0
code_module,0.0
