Feature,Mean |SHAP|
active_days_homepage,3.0132367422256485
total_clicks_homepage,1.1064604820571415
date_unregistration,0.8294041472855861
avg_daily_clicks,0.5585245284145351
active_days_quiz,0.4138583789917483
active_days_url,0.3947749015380329
gender,0.3866060057906525
total_clicks_url,0.3806187099389771
overall_active_days,0.37973479031865054
total_clicks_subpage,0.3595746570018919
early_engagement,0.35520960863412054
total_clicks_oucontent,0.320866329640429
active_days_resource,0.3186323818872647
studied_credits,0.2600174832751716
active_days_externalquiz,0.2526093826990193
total_clicks_externalquiz,0.2488046342447604
total_clicks_ouwiki,0.22057855204997426
highest_education,0.2088475201227096
active_days_oucontent,0.20552707526003425
active_days_dataplus,0.2051772872702734
total_clicks_page,0.198993969108391
active_days_page,0.19629822344099102
overall_total_clicks,0.17381886687023654
active_days_folder,0.16818090055219675
active_days_glossary,0.15724562532123473
date_registration,0.15679873211842563
active_days_ouwiki,0.15358178246960139
active_days_forumng,0.14318967660053322
imd_band,0.13232429850876395
total_clicks_forumng,0.12234492328811068
total_clicks_ouelluminate,0.11061433822318709
total_clicks_oucollaborate,0.10511978207437167
total_clicks_folder,0.09621710680197942
active_days_ouelluminate,0.09527438486852166
code_presentation,0.08882809033918393
total_clicks_glossary,0.06836590727743279
num_of_prev_attempts,0.06734818700575888
age_band,0.06337116966359924
total_clicks_dataplus,0.0607135529320716
code_module,0.05818416570210388
total_clicks_questionnaire,0.050800074372292045
disability,0.04640063139643278
total_clicks_dualpane,0.046082924683419624
active_days_questionnaire,0.044219637838579705
active_days_oucollaborate,0.04173582034098661
region,0.02849068413745182
id_student,0.017215891616886414
total_clicks_quiz,0.014628742216314876
total_clicks_resource,0.012687013961178311
active_days_dualpane,0.012551159209369616
total_clicks_htmlactivity,0.007499090507876737
module_presentation_length,0.0072246658239381
total_clicks_repeatactivity,0.0
total_clicks_sharedsubpage,0.0
active_days_repeatactivity,0.0
active_days_htmlactivity,0.0
presentation_year,0.0
semester,0.0
active_days_sharedsubpage,0.0
active_days_subpage,0.0
