Feature,Mean |SHAP|
active_days_homepage,3.1602467546586586
total_clicks_homepage,1.2569654529486307
date_unregistration,0.9472790325049202
overall_active_days,0.916693594668178
avg_daily_clicks,0.680247657144006
active_days_quiz,0.4458400842222237
total_clicks_url,0.4247756233062548
gender,0.4089306797590831
total_clicks_subpage,0.4064162260982136
active_days_url,0.4017679990948912
final_result,0.39226315600432804
active_days_resource,0.3245677856033685
early_engagement,0.3157926046649991
studied_credits,0.3146211148198405
active_days_oucontent,0.29941145481921294
active_days_externalquiz,0.2636914694524922
total_clicks_oucontent,0.25277780988062454
total_clicks_externalquiz,0.24473337466524167
active_days_forumng,0.2289067564028078
total_clicks_ouwiki,0.22337256626810112
highest_education,0.2182015272627955
date_registration,0.2052174410475758
total_clicks_page,0.20095903688781624
active_days_dataplus,0.19802139274197153
active_days_ouwiki,0.18482042158514148
active_days_page,0.18334753867834067
total_clicks_forumng,0.1685294811745899
active_days_glossary,0.16685886246293352
overall_total_clicks,0.13785956021727275
imd_band,0.13713152805791856
active_days_folder,0.13668794967617187
code_presentation,0.11863309828336949
total_clicks_folder,0.11657978948536321
total_clicks_quiz,0.11553954946277348
total_clicks_ouelluminate,0.11422601623741457
active_days_ouelluminate,0.11393033279965677
total_clicks_oucollaborate,0.1137404909851765
total_clicks_questionnaire,0.09151751523860112
age_band,0.07566555357989328
total_clicks_dataplus,0.07329183926210701
total_clicks_glossary,0.0720979487996362
active_days_questionnaire,0.0687939395812027
num_of_prev_attempts,0.05566402438021553
active_days_oucollaborate,0.05401240350150461
disability,0.04929954975600192
total_clicks_dualpane,0.039584069346828885
active_days_subpage,0.037956559864826774
code_module,0.03750234556332212
region,0.03061482000017118
id_student,0.014544539172695912
module_presentation_length,0.006386487829756036
total_clicks_resource,0.004193109094188324
total_clicks_htmlactivity,0.003777209494490532
active_days_dualpane,0.003616002667987271
active_days_htmlactivity,0.003185211519976232
active_days_sharedsubpage,0.0
total_clicks_repeatactivity,0.0
total_clicks_sharedsubpage,0.0
presentation_year,0.0
semester,0.0
active_days_repeatactivity,0.0
